hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,lum_class
Kepler-629,G,5444,0.84,0.93,0.01,[Fe/H],-0.283,4.55,1.91,2.03849,V
Kepler-958,G,5421,0.86,0.91,0.01,[Fe/H],-0.282,4.53,4.37,11.37484,V
Kepler-913,K,4687,0.61,0.63,-0.52,[Fe/H],-0.282,4.67,5.62,4.307,V
Kepler-1635,K,5347,0.85,0.89,0.06,[Fe/H],-0.28,4.53,4.9,0.21977,V
Kepler-760,K,5322,0.85,0.89,0.08,[Fe/H],-0.28,4.54,4.57,2.12083,V
Kepler-523,G,5515,0.86,0.93,-0.03,[Fe/H],-0.28,4.54,2.45,2.36312,V
Kepler-1001,G,5491,0.88,0.9,-0.03,[Fe/H],-0.279,4.52,4.68,0.1919,V
Kepler-499,K,5312,0.83,0.87,0,[Fe/H],-0.279,4.55,4.57,3.71393,V
Kepler-285,G,5411,0.81,0.82,0.16,[Fe/H],-0.279,4.58,0.6,2.44783,V
Kepler-916,K,5248,0.81,0.85,-0.05,[Fe/H],-0.278,4.56,4.79,2.61354,V
Kepler-179,K,5302,0.76,0.84,0.123,[M/H],-0.278,4.61,0.6,3.16386,V
Kepler-1545,K,5201,0.8,0.84,-0.06,[Fe/H],-0.277,4.57,4.47,4.68026,V
Kepler-1178,K,4990,0.75,0.8,-0.05,[Fe/H],-0.277,4.59,4.68,3.02114,V
Kepler-701,K,5343,0.84,0.88,0,[Fe/H],-0.276,4.54,4.47,2.92779,V
Kepler-1559,K,5316,0.82,0.86,-0.04,[Fe/H],-0.276,4.55,4.27,1.67188,V
K2-201,G,5507,0.88,0.96,0.13,[Fe/H],-0.276,4.68,,1.87336,V
Kepler-1469,G,5507,0.89,0.92,0.02,[Fe/H],-0.274,4.51,4.47,3.22658,V
Kepler-882,G,5476,0.87,0.9,-0.03,[Fe/H],-0.273,4.52,4.57,8.59056,V
Kepler-851,G,5455,0.85,0.89,-0.07,[Fe/H],-0.273,4.53,4.47,0.63776,V
Kepler-1549,K,5324,0.84,0.88,0.02,[Fe/H],-0.273,4.54,4.79,1.90642,V
Kepler-837,K,5403,0.81,0.85,-0.18,[Fe/H],-0.271,4.56,3.98,1.46297,V
Kepler-1614,K,5121,0.76,0.79,-0.17,[Fe/H],-0.271,4.58,5.5,1.34731,V
K2-27,K,5248,0.89,0.87,0.13,[Fe/H],-0.27,4.48,10.3,2.04,V
Kepler-652,G,5490,0.88,0.97,0.17,[Fe/H],-0.27,4.54,1.48,3.49287,V
Kepler-775,G,5468,0.84,0.92,-0.04,[Fe/H],-0.267,4.56,1.86,1.97281,V
Kepler-1671,K,5135.55,0.93,0.87,0.25,[M/H],-0.266,4.44,13.4,1.51899,IV-V
Kepler-1634,G,5474,0.89,0.92,0.02,[Fe/H],-0.265,4.51,4.47,1.46428,V
Kepler-751,G,5387,0.84,0.87,-0.06,[Fe/H],-0.264,4.54,4.47,2.11123,V
Kepler-1342,K,5527,0.9,0.93,0.03,[Fe/H],-0.261,4.51,4.37,2.72102,V
Kepler-962,K,5478,0.86,0.93,0.01,[Fe/H],-0.261,4.54,2.4,8.14697,V
