hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_vmag,sy_kmag,sy_gaiamag,lum_class,sub_class
CoRoT-16,G,5650,1.19,1.1,0.19,-0.435,4.36,6.73,0.93,16.052,12.847,15.6507,V,5
HD 190647,G,5656,1.38,1.07,0.23,0.297,4.16,7.957,0.41818,7.78,6.161,7.5942,V,5
WASP-135,G,5675,0.96,0.98,0.02,-0.326,4.47,0.6,1.58,13.181,11.037,13.0045,V,5
HD 72892,G,5688,1.22,1.02,0.25,0.146,4.27,8,0.90727,8.83,7.216,8.6469,V,5
NGC 2682 YBP 1514,G,5725,0.89,0.96,0.03,-0.018,4.57,4.15,1.12635,14.684,13.105,14.6201,V,5
HD 207832,G,5726,0.89,1.05,0.14,-0.11,4.48,1.36,1.5247,8.78,7.207,8.61176,V,5
HD 134987,G,5736,1.22,1.1,0.28,0.255,4.31,8.4,0.6832,6.47,4.882,6.28994,V,5
NGC 2682 YBP 1194,G,5780,0.99,1.01,0.023,-0.011,4.44,4.15,1.43409,14.569,12.965,14.4666,V,5
HD 109271,G,5783,1.29,1.05,0.1,0.301,4.28,7.3,0.74379,8.04,6.495,7.87816,V,5
HD 204313,G,5783,1.1,1.03,0.16,0.1,4.37,3.38,1.01537,7.99,6.459,7.83246,V,5
HD 183579,G,5788,0.98,1.03,-0.023,0.012,4.5,2.6,1.53,8.67,7.15,8.51549,V,5
HD 222582,G,5790,1.13,1.12,0.01,0.115,4.38,10.24,1.00725,7.68,6.173,7.51889,V,5
HD 107148,G,5797,1.15,1.12,0.314,0.121,4.45,5.6,0.93155,8.01,6.474,7.85111,V,5
HD 160691,G,5807,1.38,1.08,0.302,0.278,4.37,6.4,0.55473,5.12,3.683,4.94916,V,5
HD 63433,G,5640,0.91,0.99,0.017,-0.123,4.53,0.414,1.823,6.92035,5.258,6.71831,IV,5
70 Vir,G,5495,1.89,1.09,-0.09,0.451,3.95,7.77,0.19024,4.96808,3.5,4.76178,V,5
HD 90156,G,5599,0.87,0.84,-0.24,-0.143,4.48,4.4,1.95613,6.92,5.245,6.73951,V,5
HD 4308,G,5686,1.02,0.93,-0.35,-0.004,4.39,4.3,1.23938,6.55,4.945,6.37578,V,5
51 Peg,G,5758,1.18,1.03,0.18,0.136,4.31,10,0.89374,5.45309,3.911,5.28647,V,5
HD 156279,G,5453,0.95,0.95,0.14,-0.146,4.46,4.1,1.49285,8.07,6.269,7.86569,,6
WASP-165,G,5599,1.75,1.25,0.33,0.428,3.93,4.77,0.328,12.816,11.024,12.5435,,6
WASP-56,G,5600,0.96,0.71,0.12,0.103,4.5,6.2,1.14,12.091,10.532,12.0028,,6
WASP-57,G,5600,0.93,0.89,-0.25,-0.005,4.45,2.6,1.568,12.913,11.244,12.7293,,6
WASP-65,G,5600,1.01,0.93,-0.07,0.055,4.4,8,1.28,11.869,10.346,11.7509,,6
WASP-130,G,5625,0.96,1.04,0.26,-0.032,4.49,2,1.66,11.104,9.461,10.9717,,6
HD 190360,G,5552,1.14,0.99,0.24,0.066,4.32,8.5,0.867,5.738,4.076,5.55436,IV,6
HD 175607,G,5392,0.7,0.71,-0.62,-0.271,4.64,10.32,2.22215,8.6,6.881,8.40957,V,6
K2-30,G,5425,0.84,0.9,-0.15,-0.256,4.54,3.9,2.11,13.547,11.088,13.2056,V,6
DS Tuc A,G,5428,0.96,1.01,0,-0.14,4.6,0.045,2.4,8.17,6.676,8.31926,V,6
KOI-142,G,5466,0.9,0.99,0.27,-0.165,4.53,1.6,1.50172,13.209,11.454,13.1048,V,6
HD 143361,G,5507,0.92,0.97,0.14,-0.092,4.47,2.942,1.24457,9.2,7.488,9.01602,V,6
GJ 3021,G,5540,0.9,0.9,0.1,-0.18,4.7,0.37,2.0094,6.59,4.859,6.39729,V,6
NGTS-15,G,5600,0.95,0.99,0.15,-0.086,4.4,3.28,1.61507,14.669,12.907,14.4299,V,6
WASP-46,G,5600,0.86,0.83,-0.3,-0.111,4.49,9.6,1.845,13.043,11.401,12.8519,V,6
WASP-49,G,5600,0.97,0.92,-0.23,-0.053,4.5,11.9,1.43,11.352,9.749,11.2907,V,6
HD 73526,G,5601,1.53,1.14,0.22,0.338,4.12,9.2,0.33748,8.99,7.302,8.79682,V,6
HD 76700,G,5644,1.37,0.99,0.31,0.257,4.16,11,0.5038,8.16,6.5,7.97348,V,6
HD 102117,G,5655,1.23,1.06,0.28,0.157,4.29,10,0.74131,7.47,5.833,7.28191,V,6
HD 47186,G,5657,1.08,0.96,0.24,0.043,4.36,6.5,1.05709,7.63,6.005,7.44897,V,6
HD 92788,G,5744,1.14,1.15,0.27,0.02,4.39,2.55,0.95143,7.31637,5.721,7.13929,V,6
HD 202206,G,5766,1.04,1.07,0.3,0.035,4.5,2.9,1.24997,8.08,6.485,7.91051,V,6
HD 152079,G,5907,1.13,1.15,0.29,0.107,4.37,1.622,0.89128,9.18,7.634,9.01051,V,6
WASP-64,G,5400,1.06,1,-0.08,-0.022,4.39,1.2,1.196,12.704,10.956,12.5257,,7
HAT-P-51,G,5449,1.04,0.98,0.27,-0.066,4.39,8.2,1.223,13.51,11.614,13.2846,,7
WASP-98,G,5473,0.74,0.81,-0.49,-0.358,4.61,2.7,2.801,13.252,11.284,12.8678,,7
K2-261,G,5537,1.65,1.1,0.36,0.372,4.21,8.8,0.35,10.612,8.89,10.4594,IV-V,7
K2-29,G,5358,0.86,0.94,0.16,-0.295,4.54,2.6,2.9,12.532,10.062,12.2008,V,7
LTT 9779,G,5443,0.95,0.77,0.27,-0.149,4.35,1.9,1.81,9.79,8.016,9.60006,V,7
NGTS-16,G,5550,1.21,1,0.35,0.117,4.35,10.29,0.67558,14.529,12.647,14.2311,V,7
HD 4208,G,5717,0.85,0.88,-0.28,-0.1,4.5,3.813,1.73372,7.783,6.163,7.61066,V,7
HAT-P-27,G,5316,0.86,0.92,0.3,-0.269,4.53,4.4,1.99758,12.052,10.109,11.9562,,8
WASP-4,G,5400,0.89,0.86,-0.07,-0.179,4.47,7,1.711,12.483,10.746,12.3162,,8
WASP-104,G,5475,0.96,1.08,0.32,-0.19,4.5,3,1.7,11.779,9.882,11.5931,,8
WASP-83,G,5510,1.05,1.11,0.29,-0.05,4.44,5,1.4,12.312,10.393,12.0084,,8
WASP-96,G,5540,1.05,1.06,0.14,0.032,4.42,8,1.299,12.569,10.914,12.3833,,8
HD 126614,G,5568,1.32,1.26,0.54,0.083,4.3,7.2,0.55842,8.81,7.06,8.61907,IV,8
HD 9174,G,5577,1.67,1.03,0.39,0.382,4.03,9,0.28402,8.4,6.744,8.22923,IV,8
HD 221585,G,5620,1.85,1.19,0.29,0.422,4.05,6.2,0.216,7.457,5.781,7.28128,IV,8
HD 217107,G,5622,1.11,1,0.36,0.098,4.34,5.84,0.80093,6.155,4.536,5.96401,IV,8
HD 66428,G,5773,1.1,1.08,0.23,0.096,4.36,3.515,0.91809,8.25,6.66,8.08142,IV,8
EPIC 249893012,G,5430,1.71,1.05,0.2,0.356,3.99,9,0.298,11.429,9.714,11.4019,IV-V,8
HD 117207,G,5732,1.07,1.05,0.19,0.066,4.37,4.192,0.94568,7.26,5.65,7.07737,IV-V,8
K2-138,G,5356.3,0.86,0.94,0.14,-0.287,4.54,2.8,2.064,12.246,10.305,12.0252,V,8
HD 219077,G,5362,1.91,1.05,-0.13,0.425,4,8.9,0.1703,6.12,4.287,5.91597,V,8
WASP-77 A,G,5365,1.09,1.49,-0.34,-0.113,4.33,1,1.64,10.294,8.405,10.0966,V,8
TOI-132,G,5397,0.9,0.97,0.16,-0.222,4.48,6.34,1.89,11.197,9.646,11.3208,V,8
HD 20794,G,5401,0.92,0.7,-0.4,-0.163,4.22,5.76,1.70389,4.26,2.636,4.06635,V,8
WASP-44,G,5420,0.91,0.94,-0.003,-0.198,4.49,10.3,1.77,13.096,11.341,12.8964,V,8
HD 165155,G,5426,0.95,1.02,0.09,-0.155,4.49,11,1.75673,9.36,7.584,9.21413,V,8
HD 191939,G,5427,0.94,0.92,-0.16,-0.161,4.4,7,1.55,8.97,7.18,8.77476,V,8
XO-5,G,5430,1.13,1.04,0.05,-0.06,4.35,8.5,1.01,12.198,10.345,11.9498,V,8
HD 171238,G,5440,1.01,0.96,0.2,-0.09,4.43,7.56,1.73124,8.61,6.831,8.41099,V,8
K2-265,G,5477,0.98,0.92,0.078,-0.18,4.42,9.7,0.98,11.187,9.259,10.9277,V,8
Kepler-447,G,5493,1.05,1,0.07,-0.19,4.4,2.69,1.85322,12.52,10.806,12.3795,V,8
HD 100777,G,5533,1.04,0.83,0.25,0.021,4.32,2,1.15933,8.42,6.735,8.2387,V,8
HD 217850,G,5544,1.21,1.03,0.26,0.1,4.17,7.59,0.56721,8.520001,6.793,8.32065,V,8
WASP-19,G,5568,1,0.9,0.15,-0.059,4.45,11.5,1.258,12.248,10.481,12.1088,V,8
WASP-8,G,5600,1.03,1.34,0.17,-0.058,4.5,4,1.74,9.789,8.086,9.61249,V,8
HD 203030,G,5603,0.86,0.94,0.3,-0.227,4.64,0.22,1.97498,8.45,6.653,8.24663,V,8
HD 30177,G,5607,1.02,1.05,0.39,0.083,4.42,2.525,0.81457,8.41,6.715,8.21511,V,8
tau Cet,G,5310,0.83,0.78,-0.52,-0.305,4.52,12.12,2.24358,3.49607,1.794,3.24854,V,8.5
CoRoT-28,G,5150,1.78,1.01,0.15,0.388,3.6,12,0.27,13.783,11.032,13.4119,IV,8
HD 45652,G,5294,0.94,0.92,0.26,-0.2,4.2,8.4,1.46107,8.1,6.263,7.9118,,8
HD 99109,G,5282,0.98,0.76,0.35,-0.172,4.34,1,1.31503,9.1,7.162,8.86823,IV,8
HD 154345,G,5468,0.85,0.71,-0.11,-0.219,4.43,9.527,2.03569,6.76,5.003,6.56771,V,8
HD 177565,G,5627,0.97,1,0.081,-0.054,4.39,6.88,1.46777,6.15,4.539,5.9739,V,8
WASP-183,G,5313,0.87,0.78,-0.31,-0.209,4.45,14.9,1.68,13.081,11.207,12.8148,,9
K2-229,G,5315,0.79,0.87,-0.09,-0.383,4.59,5.4,2.38,10.985,9.05,10.7861,,9
TOI-157,G,5404,1.17,0.95,0.24,0.02,4.28,12.82,0.842,12.725,10.892,12.5143,IV,9
K2-32,G,5271,0.86,0.83,-0.06,-0.296,4.49,7.9,1.83277,12.304,9.821,12.0036,V,9
CoRoT-7,G,5275,0.83,0.82,0.05,-0.289,4.5,1.75,2,11.728,9.806,11.5239,V,9
HATS-15,G,5311,0.92,0.87,0,-0.204,4.45,11,1.57,14.909,12.724,14.6473,V,9
TOI-421,G,5325,0.87,0.85,-0.02,-0.268,4.49,9.4,2.72,9.931,8.071,9.77776,V,9
Kepler-67,G,5331,0.78,0.86,-0.2,-0.376,4.59,1,2.66,16.172,14.155,16.1723,V,9
K2-263,G,5368,0.85,0.88,-0.08,-0.26,4.51,7,2.02,11.568,9.748,11.4055,V,9
