pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,cluster
0.0856,3.58,12.5,1.5,631,cluster4
0.0532,2.41,6.39,2.51,801,cluster4
0.094,7.6,44.9,0.562,979,cluster3
0.091,2.25,5.69,2.74,314,cluster4
0.096,2.6,7.27,2.27,502,cluster4
0.0696,3.88,14.3,1.35,383,cluster4
0.086,10.61,152.5584,0.702,1499,cluster1
0.0974,5.2,32.2,2.15,1092,cluster3
0.1597,11.73,308.2951,1.05,1113,cluster1
0.0525,15.681,215.80657,0.308,1377,cluster1
0.06229,15.132,54.34893,0.093,1712,cluster1
0.06708,19.952,301.9385,0.209,1800,cluster1
0.03005,19.537,408.09372,0.322,1970,cluster1
0.04613,19.504,416.3573,0.36,1642,cluster1
0.02044,15.861,874.0325,1.2,2453,cluster1
0.04881,17.094,416.3573,0.46,2087,cluster1
0.0455,17.598,375.0394,0.377,2085,cluster1
0.03302,14.83,298.12454,0.503,1561,cluster1
0.04123,17.486,616.5902,0.75,1816,cluster1
0.04317,19.044,286.68266,0.228,1823,cluster1
0.07939,14.572,165.2716,0.311,1313,cluster1
0.04415,17.934,441.7837,0.442,2048,cluster1
0.0455,18.159,209.7678,0.167,1675,cluster1
0.154,13.787,349.613,0.733,911,cluster1
0.382,10.54,460.83,2.1,511,cluster1
0.098,3.438,9.5,1.29,758,cluster4
0.14728,1.9,4.6,3.69,660,cluster4
0.112293,1.9,9,7.21,755,cluster4
0.5135,8.86,71,0.56,412,cluster2
0.8453,5.44,15,0.51,321,cluster2
0.1949,1.13,2.23,9.95,475,cluster3
0.0634,2.58,11.02,4.5,613,cluster4
0.1462,1.19,9.2,10,785,cluster4
0.1911,1.21,10.36,10,686,cluster3
0.074,1.31,2.27,5.55,1062,cluster4
0.089,1.19,1.81,5.9,987,cluster4
0.32,2.87,8.6,2,520,cluster3
0.42,2.66,7.56,2.21,450,cluster2
0.48,2.88,8.65,1.99,407,cluster2
0.534,11.097,613.4119,2.46,347,cluster1
0.05119,1.71,10.5,10.1,1486,cluster4
0.1013,4.32,15.6,0.91,1012,cluster3
0.1684,11.27,106,0.363,806,cluster1
0.3046,6.56,35,0.6,584,cluster3
0.0269,11.545,346.4347,1.31,1459,cluster1
0.0172,1.481,4.60853,8,2130,cluster4
0.241,2.323,7.37,3.14,584,cluster3
0.072,1.32,7.34,14.25,1155,cluster4
0.5337,4.76,20.3,1.03,473,cluster2
0.1129,3.15,10.1,1.78,693,cluster4
0.084,1.578,3.11,4.35,804,cluster4
0.0564,1.71,3.57,3.92,1453,cluster4
0.0444,1.78,3.82,3.72,1157,cluster4
0.0671,6.28,32.5,0.721,1661,cluster3
0.0669,1.5,2.86,4.66,1026,cluster4
0.1464,1.54,2.99,4.5,791,cluster4
0.048,1.44,2.67,4.91,652,cluster4
0.0951,1.28,2.18,5.71,627,cluster4
0.0796,2.17,5.35,2.88,403,cluster4
