pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,cluster
0.1694,2.3,5.9,2.66,1171,cluster2
0.2495,2.76,8.05,2.1,493,cluster4
0.0223,1.43,3.9,7.2,1224,cluster1
0.207,2.74,7.95,2.12,664,cluster4
0.088,9.17,61.8,0.44,713,cluster3
0.1039,2.287,7.72,3.6,521,cluster2
0.013,0.82,0.477,4.75,1026,cluster1
0.1321,3.04,9.5,1.86,541,cluster4
0.0491,0.79,0.418,4.66,985,cluster1
0.03925,1.241,0.84,2.42,722,cluster1
0.3475,2.13,5.18,2.95,561,cluster2
0.0747,2.17,5.35,2.88,577,cluster2
0.0336,0.82,0.477,4.75,1507,cluster1
0.0129,5.77,28.1,0.804,1437,cluster8
0.0325,2.44,6.53,2.47,1070,cluster2
0.0679,0.705,0.29013,4.51,664,cluster1
0.181,1.48,2.79,4.73,706,cluster1
0.393,2.55,7.04,2.33,525,cluster4
0.104,1.85,4.08,3.54,1037,cluster2
0.1143,2.01,4.7,3.18,596,cluster2
0.0467,1.77,3.78,3.75,1158,cluster1
0.1366,3.13,9.96,1.78,671,cluster4
0.0445,1.79,3.86,3.7,1064,cluster1
0.1074,1.34,2.36,5.39,1159,cluster1
0.0298,1.68,3.46,4.01,713,cluster1
0.06112,12.621,256.17098,0.7,1128,cluster7
0.0184,1.46,2.73,4.82,2080,cluster1
0.117,1.12,1.46,5.71,1180,cluster1
0.0492,1.09,1.32,5.6,1328,cluster1
0.0293,13.07,466.8287,1.325,1395,cluster6
0.0781,1.4,2.54,5.09,379,cluster1
0.0141,1.43,2.63,4.94,1681,cluster1
0.04501,10.761,136.661,0.603,1440,cluster7
0.1992,5.74,27.9,0.811,1095,cluster8
0.154,2.37,6.21,2.56,749,cluster2
0.1684,11.27,106,0.363,806,cluster3
0.13,2.63,24.5,7.4,795,cluster5
0.0459,1.59,3.15,4.31,1159,cluster1
0.2,1.89,4.23,3.44,554,cluster2
0.06229,15.132,54.34893,0.093,1712,cluster7
0.04,3.7,13.2,1.43,1420,cluster8
0.1066,1.82,3.97,3.62,661,cluster2
0.3877,3.05,9.53,1.85,448,cluster4
0.1013,2.73,7.9,2.13,869,cluster4
0.1684,0.84,8.25,77.7,615,cluster5
0.052,1.38,2.48,5.19,1254,cluster1
0.42,2.66,7.56,2.21,450,cluster4
0.0666,1.32,2.3,5.5,1098,cluster1
0.134,3.49,12,1.55,902,cluster8
0.01598,3.444,39.09,5.2,1932,cluster8
0.0191,1.18,1.76,5.89,1677,cluster1
0.0915,2.16,5.31,2.9,931,cluster2
0.05239,16.589,419.5356,0.558,1675,cluster7
0.204,1.84,4.04,3.56,678,cluster2
0.0602,3.49,12,1.55,977,cluster8
0.201,9.158,109.33352,0.78,435,cluster3
0.0313,2.59,7.22,2.28,1523,cluster4
0.193,4.06,15.5,1.27,634,cluster8
0.0288,1.73,3.64,3.86,1374,cluster1
0.0923,2.19,5.43,2.84,551,cluster2
0.055,2.15,8.5,4.7,575,cluster8
0.0446,12.22,317.82,0.93,1544,cluster7
0.0428,2.93,8.91,1.95,996,cluster4
0.0659,0.97,0.871,5.24,1183,cluster1
0.287,1.75,36,36.9,543,cluster5
0.4029,3.8,13.8,1.38,364,cluster8
0.0719,2.15,5.27,2.91,886,cluster2
0.111,1.77,3.78,3.75,825,cluster1
0.288,2.14,5.22,2.93,308,cluster2
0.0542,2.93,8.91,1.95,432,cluster4
0.0836,4.82,20.7,1.02,1228,cluster8
0.04123,17.486,616.5902,0.75,1816,cluster7
0.089,2.65,7.51,2.22,680,cluster4
0.10725,2.72,6.2,1.61,385,cluster4
0.079,1.39,2.51,5.14,1141,cluster1
0.0298,1.68,3.46,4.01,713,cluster1
0.0303,0.96,0.84,5.22,1574,cluster1
0.1385,3.1,6.1,1.13,888,cluster8
0.105,3.68,13.1,1.44,762,cluster8
0.0788,2.39,6.3,2.54,803,cluster2
0.0696,0.546,0.1,4.8,727,cluster1
0.0578,12.11,85.81,0.15,1330,cluster3
0.0765,3.3,10.9,1.67,1163,cluster4
0.0781,10.76,200.22,0.88,1078,cluster7
0.0214,1.76,3.75,3.78,1331,cluster1
0.0453,14.437,429.0705,0.78,1862,cluster7
0.0531,1.57,3.09,4.39,1429,cluster1
0.3677,2.94,8.96,1.94,443,cluster4
0.1829,2.6,6.1,1.91,781,cluster4
