hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,lum_class,sub_class
HD 24040,G,5802,1.3,1.11,0.19,[Fe/H],0.276,4.26,6.68,0.55399,V,0
HD 24064,K,4052,40,1.61,-0.49,[Fe/H],2.546,1.44,9,,III,0
HD 24085,G,6034,1.41,1.22,0.17,[M/H],0.377,4.2,,0.5762,V,0
HD 25015,K,5160,0.83,0.86,0.04,[Fe/H],-0.384,4.4,4,2.24688,V,1
HD 25171,F,6125,1.23,1.08,-0.12,[Fe/H],0.276,4.26,4.802,0.94486,V,8
HD 2638,G,5186,0.94,0.77,0.13,[Fe/H],-0.33,4.38,3,1.83521,V,5
HD 26965,K,5072,0.87,0.78,-0.42,[Fe/H],-0.34,4.45,6.9,1.98442,V,0
HD 27442,K,4846,3.18,1.23,0.42,[Fe/H],0.851,3.78,10,,III,1
HD 27631,G,5737,0.92,0.94,-0.12,[Fe/H],-0.056,4.46,4.01,1.1271,IV-V,3
HD 27894,K,4875,0.89,0.8,0.3,[Fe/H],-0.449,4.22,3.9,1.84634,V,2
HD 28185,G,5662,1.03,1.02,0.23,[Fe/H],0.016,4.42,7.5,1.1168,V,5
HD 28254,G,5664,1.48,1.06,0.06,[Fe/H],0.34,4.12,,0.35764,IV-V,1
HD 285507,K,4503,0.69,0.82,0.13,[Fe/H],-0.719,4.67,0.625,1.89557,V,4
HD 285968,M,3703.49,0.48,0.5,-0.1,[Fe/H],-1.658,4.75,3.62,5.92298,V,2
HD 28678,G,4972,6.48,1.53,-0.11,[Fe/H],1.36,3.06,1.8,,IV,8
HD 29021,G,5560,0.85,0.85,-0.24,[Fe/H],-0.174,4.44,7.4,1.992,V,5
HD 290327,G,5505,0.95,0.84,-0.14,[Fe/H],-0.14,4.41,,1.65313,V,8
HD 2952,K,4844,10.76,1.97,0,[Fe/H],1.85,2.67,,,III,0
