pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
Kepler-227 c,Kepler-227,1,2,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,54.418694,0.29,3.04,0.271,9.48,0.0298,1.85,M-R relationship,0,10.19,443,1,,5854,1.09,0.92,0.081,[M/H],-0.121,4.4,7.7,5.82788,19h27m44.23s,291.9342748,+48d08m30.03s,48.141676,1083.06,15.623,13.648,15.3234
Kepler-228 b,Kepler-228,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,2.566546,0.038,1.53,0.136,2.96,0.0093,4.54,M-R relationship,0,863.78,1360,0,,6043,1.01,0.95,-0.03,[Fe/H],0.111,4.47,0.3,1.55056,19h45m08.66s,296.2860853,+48d13m28.68s,48.2246328,1644.61,15.902,14.132,15.7042
Kepler-228 c,Kepler-228,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,4.134444,0.052,2.7,0.241,7.75,0.0244,2.16,M-R relationship,0,457.32,1160,0,,6043,1.01,0.95,-0.03,[Fe/H],0.111,4.47,0.3,0.30732,19h45m08.66s,296.2860853,+48d13m28.68s,48.2246328,1644.61,15.902,14.132,15.7042
Kepler-228 d,Kepler-228,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,11.094286,0.101,4.04,0.36,15.4,0.0483,1.28,M-R relationship,0,122.78,835,0,,6043,1.01,0.95,-0.03,[Fe/H],0.111,4.47,0.3,1.00902,19h45m08.66s,296.2860853,+48d13m28.68s,48.2246328,1644.61,15.902,14.132,15.7042
Kepler-229 b,Kepler-229,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,6.252972,0.062,2.2,0.196,5.48,0.0172,2.83,M-R relationship,0,76.22,823,0,,5120,0.73,0.8,0.16,[Fe/H],-0.538,4.63,1.1,3.16464,19h07m59.87s,286.9994758,+48d22m32.83s,48.3757867,826.265,16.22,13.785,15.8265
Kepler-229 c,Kepler-229,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,16.068638,0.117,4.92,0.439,21.5,0.0676,0.992,M-R relationship,0,21.64,600,0,,5120,0.73,0.8,0.16,[Fe/H],-0.538,4.63,1.1,3.66603,19h07m59.87s,286.9994758,+48d22m32.83s,48.3757867,826.265,16.22,13.785,15.8265
Kepler-229 d,Kepler-229,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,41.194912,0.22,3.85,0.343,14.2,0.0445,1.37,M-R relationship,0,6.16,439,1,,5120,0.73,0.8,0.16,[Fe/H],-0.538,4.63,1.1,3.9471,19h07m59.87s,286.9994758,+48d22m32.83s,48.3757867,826.265,16.22,13.785,15.8265
Kepler-23 b,Kepler-23,1,3,Transit,2011,2012-05-01T00:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,7.1073,0.075,1.9,0.17,254.3,0.8,,Mass,0.06,446.11,1157,1,,5760,1.52,1.11,-0.09,[M/H],0.362,4,6,0.45155,19h36m52.54s,294.2189131,+49d28m45.31s,49.4792536,835.756,13.567,11.998,13.4015
Kepler-23 c,Kepler-23,1,3,Transit,2011,2012-05-01T00:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,10.7421,0.099,3.2,0.285,858.1,2.7,,Mass,0.02,257.39,1008,1,,5760,1.52,1.11,-0.09,[M/H],0.362,4,6,0.42989,19h36m52.54s,294.2189131,+49d28m45.31s,49.4792536,835.756,13.567,11.998,13.4015
Kepler-23 d,Kepler-23,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,15.274299,0.124,2.2,0.196,17.6,0.055,9.08,Mass,0.08,161.04,896,1,,5828,1.55,1.1,-0.112,[M/H],0.398,4.09,6.61,0.5413,19h36m52.54s,294.2189131,+49d28m45.31s,49.4792536,835.756,13.567,11.998,13.4015
