hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_bmag,sy_vmag,sy_gaiamag,lum_class
Kepler-1029,K,5030,0.77,0.82,0.01,-0.62,4.58,4.07,5.43948,15.64,14.434,14.3009,V
Kepler-367,K,4710,0.69,0.68,0.197,-0.617,4.63,2.29,3.49879,14.219,13.193,12.8482,V
Kepler-1026,K,4948,0.75,0.79,-0.02,-0.617,4.59,4.57,1.84625,15.398,14.463,14.2019,V
Kepler-1418,K,4770,0.72,0.77,0,-0.616,4.61,3.63,3.48546,16.645,15.461,15.2813,V
Kepler-1353,K,4776,0.72,0.76,-0.06,-0.615,4.61,4.68,3.04244,16.914,15.734,15.5059,V
Kepler-242,K,5020,0.85,0.81,0.01,-0.613,4.49,14,0.65082,16.541,15.489,15.3494,V
Kepler-842,K,4848,0.73,0.78,-0.02,-0.612,4.6,4.37,2.76789,16.358,15.363,15.1296,V
K2-162,K,4842,0.69,0.75,-0.17,-0.61,4.63,,1.97721,13.31,12.278,11.9662,V
Kepler-900,K,4836,0.73,0.78,-0.01,-0.608,4.6,4.57,1.03464,16.432,15.19,14.9453,V
Kepler-241,K,4699,0.67,0.67,0.031,-0.607,4.63,13.9,2.98907,16.437,15.708,15.3871,V
Kepler-1577,K,4862,0.74,0.78,0,-0.607,4.6,4.27,2.23018,16.545,15.228,15.0571,V
Kepler-1544,K,4886,0.74,0.81,0.02,-0.606,4.61,2.34,2.06,15.491,14.287,14.039,V
Kepler-845,K,4913,0.75,0.79,0.01,-0.605,4.59,4.79,0.55664,15.995,14.903,14.6386,V
Kepler-1309,K,5235,0.8,0.85,-0.03,-0.603,4.56,4.27,7.95737,17.171,16.5119,16.1875,V
Kepler-1362,K,4857,0.74,0.8,0.06,-0.601,4.6,3.09,4.98007,17.441,16.05,15.8246,V
Kepler-1042,K,4815,0.72,0.75,-0.1,-0.6,4.61,4.79,2.91174,17.195,16.004,15.6716,V
Kepler-665,K,4913,0.74,0.79,-0.03,-0.595,4.6,4.68,4.89776,16.385,15.612,15.4019,V
K2-275,K,4812,0.73,0.79,0,-0.593,4.61,,2.73722,13.085,11.974,11.8139,V
EPIC 206317286,K,4864,0.67,0.71,,-0.593,4.57,,2.51975,15.08,14.005,13.774,V
NGTS-6,K,4730,0.75,0.77,0.11,-0.592,4.7,9.77,3.9304,15.171,14.237,13.8175,V
Kepler-1697,K,4681.53,0.77,0.75,0.034,-0.588,4.54,,2.28588,14.605,13.556,13.3622,V
